"County_Route_Stop","County_Route","mbbs_county","route_num","stop_num","lat","lon","notes"
"Chatham-3-14","Chatham-3","Chatham",3,14,35.5985573,-79.0075727,""
"Chatham-3-15","Chatham-3","Chatham",3,15,35.592432,-79.0122105,""
"Chatham-3-16","Chatham-3","Chatham",3,16,35.586462,-79.0176232,""
"Chatham-3-17","Chatham-3","Chatham",3,17,35.5832378,-79.0214676,""
"Chatham-3-18","Chatham-3","Chatham",3,18,35.5823524,-79.0269309,""
"Chatham-3-19","Chatham-3","Chatham",3,19,35.5754405,-79.029214,""
"Chatham-3-20","Chatham-3","Chatham",3,20,35.567644,-79.0285998,""
"Chatham-4-1","Chatham-4","Chatham",4,1,35.5801738,-79.2743729,""
"Chatham-4-2","Chatham-4","Chatham",4,2,35.5728397,-79.2824815,""
"Chatham-4-3","Chatham-4","Chatham",4,3,35.5743843,-79.2867818,""
"Chatham-4-4","Chatham-4","Chatham",4,4,35.5789036,-79.2926441,""
"Chatham-4-5","Chatham-4","Chatham",4,5,35.5865283,-79.293837,""
"Chatham-4-6","Chatham-4","Chatham",4,6,35.596687,-79.3009093,""
"Chatham-4-7","Chatham-4","Chatham",4,7,35.5960411,-79.308629,""
"Chatham-4-8","Chatham-4","Chatham",4,8,35.5952532,-79.3185968,""
"Chatham-4-9","Chatham-4","Chatham",4,9,35.5927954,-79.3262783,""
"Chatham-4-10","Chatham-4","Chatham",4,10,35.5966128,-79.3260674,""
"Chatham-4-11","Chatham-4","Chatham",4,11,35.6036168,-79.3197012,""
"Chatham-4-12","Chatham-4","Chatham",4,12,35.6102677,-79.323178,""
"Chatham-4-13","Chatham-4","Chatham",4,13,35.6174446,-79.3258163,""
"Chatham-4-14","Chatham-4","Chatham",4,14,35.6214633,-79.3309071,""
"Chatham-4-15","Chatham-4","Chatham",4,15,35.6220722,-79.3399475,""
"Chatham-4-16","Chatham-4","Chatham",4,16,35.6305218,-79.3382976,""
"Chatham-4-17","Chatham-4","Chatham",4,17,35.6369013,-79.3400344,""
"Chatham-4-18","Chatham-4","Chatham",4,18,35.6486759,-79.3349673,""
"Chatham-4-19","Chatham-4","Chatham",4,19,35.6510179,-79.3424229,""
"Chatham-4-20","Chatham-4","Chatham",4,20,35.6452243,-79.3589087,""
"Chatham-5-1","Chatham-5","Chatham",5,1,35.66617,-79.48569,""
"Chatham-5-2","Chatham-5","Chatham",5,2,35.661167,-79.490189,""
"Chatham-5-3","Chatham-5","Chatham",5,3,35.6549811,-79.4861775,""
"Chatham-5-4","Chatham-5","Chatham",5,4,35.6549225,-79.4783964,""
"Chatham-5-5","Chatham-5","Chatham",5,5,35.650359,-79.47403,""
"Chatham-5-6","Chatham-5","Chatham",5,6,35.641631,-79.475362,""
"Chatham-5-7","Chatham-5","Chatham",5,7,35.637177,-79.470007,""
"Chatham-5-8","Chatham-5","Chatham",5,8,35.640322,-79.461139,""
"Chatham-5-9","Chatham-5","Chatham",5,9,35.638346,-79.457952,""
"Chatham-5-10","Chatham-5","Chatham",5,10,35.631624,-79.457816,""
"Chatham-5-11","Chatham-5","Chatham",5,11,35.625694,-79.457334,""
"Chatham-5-12","Chatham-5","Chatham",5,12,35.617446,-79.455179,""
"Chatham-5-13","Chatham-5","Chatham",5,13,35.611642,-79.450102,""
"Chatham-5-14","Chatham-5","Chatham",5,14,35.6086766,-79.4421586,""
"Chatham-5-15","Chatham-5","Chatham",5,15,35.604648,-79.438066,""
"Chatham-5-16","Chatham-5","Chatham",5,16,35.596575,-79.435343,""
"Chatham-5-17","Chatham-5","Chatham",5,17,35.587973,-79.433613,""
"Chatham-5-18","Chatham-5","Chatham",5,18,35.580027,-79.430549,""
"Chatham-5-19","Chatham-5","Chatham",5,19,35.571881,-79.433184,""
"Chatham-5-20","Chatham-5","Chatham",5,20,35.566441,-79.430292,""
"Chatham-6-1","Chatham-6","Chatham",6,1,35.81981,-79.47866,""
"Chatham-6-2","Chatham-6","Chatham",6,2,35.821921,-79.480549,""
"Chatham-6-3","Chatham-6","Chatham",6,3,35.830756,-79.480129,""
"Chatham-6-4","Chatham-6","Chatham",6,4,35.837472,-79.479996,""
"Chatham-6-5","Chatham-6","Chatham",6,5,35.843036,-79.478017,""
"Chatham-6-6","Chatham-6","Chatham",6,6,35.841359,-79.468721,""
"Chatham-6-7","Chatham-6","Chatham",6,7,35.842234,-79.459836,""
"Chatham-6-8","Chatham-6","Chatham",6,8,35.837041,-79.454318,""
"Chatham-6-9","Chatham-6","Chatham",6,9,35.831381,-79.449306,""
"Chatham-6-10","Chatham-6","Chatham",6,10,35.824808,-79.448311,""
"Chatham-6-11","Chatham-6","Chatham",6,11,35.817855,-79.445535,""
"Chatham-6-12","Chatham-6","Chatham",6,12,35.813909,-79.439801,""
"Chatham-6-13","Chatham-6","Chatham",6,13,35.808945,-79.433373,""
"Chatham-6-14","Chatham-6","Chatham",6,14,35.802477,-79.424753,""
"Chatham-6-15","Chatham-6","Chatham",6,15,35.79937,-79.421166,""
"Chatham-6-16","Chatham-6","Chatham",6,16,35.794998,-79.414447,""
"Chatham-6-17","Chatham-6","Chatham",6,17,35.792698,-79.406864,""
"Chatham-6-18","Chatham-6","Chatham",6,18,35.790804,-79.397076,""
"Chatham-6-19","Chatham-6","Chatham",6,19,35.788643,-79.389903,""
"Chatham-6-20","Chatham-6","Chatham",6,20,35.78529,-79.379675,""
"Chatham-7-1","Chatham-7","Chatham",7,1,35.7128722,-79.3712036,""
"Chatham-7-2","Chatham-7","Chatham",7,2,35.7061355,-79.3740055,""
"Chatham-7-3","Chatham-7","Chatham",7,3,35.7001185,-79.3756967,""
"Chatham-7-4","Chatham-7","Chatham",7,4,35.7017803,-79.3672945,""
"Chatham-7-5","Chatham-7","Chatham",7,5,35.7046057,-79.360453,""
"Chatham-7-6","Chatham-7","Chatham",7,6,35.7094153,-79.3531007,""
"Chatham-7-7","Chatham-7","Chatham",7,7,35.7071309,-79.3458036,""
"Chatham-7-8","Chatham-7","Chatham",7,8,35.7050258,-79.3371755,""
"Chatham-7-9","Chatham-7","Chatham",7,9,35.7087703,-79.3362319,""
"Chatham-7-10","Chatham-7","Chatham",7,10,35.710583,-79.3282106,""
"Chatham-7-11","Chatham-7","Chatham",7,11,35.7127298,-79.3208465,""
"Chatham-7-12","Chatham-7","Chatham",7,12,35.7158568,-79.3125491,""
"Chatham-7-13","Chatham-7","Chatham",7,13,35.7211741,-79.3103521,""
"Chatham-7-14","Chatham-7","Chatham",7,14,35.7201954,-79.3006551,""
"Chatham-7-15","Chatham-7","Chatham",7,15,35.7210019,-79.2930304,""
"Chatham-7-16","Chatham-7","Chatham",7,16,35.7137957,-79.2953427,""
"Chatham-7-17","Chatham-7","Chatham",7,17,35.7132929,-79.2894732,""
"Chatham-7-18","Chatham-7","Chatham",7,18,35.7160022,-79.2809379,""
"Chatham-7-19","Chatham-7","Chatham",7,19,35.7125989,-79.2771865,""
"Chatham-7-20","Chatham-7","Chatham",7,20,35.705373,-79.2773259,""
"Chatham-8-1","Chatham-8","Chatham",8,1,35.782637,-79.207965,""
"Chatham-8-2","Chatham-8","Chatham",8,2,35.789967,-79.210325,""
"Chatham-8-3","Chatham-8","Chatham",8,3,35.797211,-79.211255,""
"Chatham-8-4","Chatham-8","Chatham",8,4,35.804574,-79.211822,""
"Chatham-8-5","Chatham-8","Chatham",8,5,35.811297,-79.216393,""
"Chatham-8-6","Chatham-8","Chatham",8,6,35.814045,-79.225265,""
"Chatham-8-7","Chatham-8","Chatham",8,7,35.820159,-79.230642,""
"Chatham-8-8","Chatham-8","Chatham",8,8,35.817804,-79.240028,""
"Chatham-8-9","Chatham-8","Chatham",8,9,35.81518,-79.248376,""
"Chatham-8-10","Chatham-8","Chatham",8,10,35.810451,-79.251885,""
"Chatham-8-11","Chatham-8","Chatham",8,11,35.804434,-79.252052,""
"Chatham-8-12","Chatham-8","Chatham",8,12,35.804864,-79.261296,""
"Chatham-8-13","Chatham-8","Chatham",8,13,35.805263,-79.270823,""
"Chatham-8-14","Chatham-8","Chatham",8,14,35.806004,-79.281216,""
"Chatham-8-15","Chatham-8","Chatham",8,15,35.812398,-79.286235,""
"Chatham-8-16","Chatham-8","Chatham",8,16,35.814745,-79.288611,""
"Chatham-8-17","Chatham-8","Chatham",8,17,35.819226,-79.293771,""
"Chatham-8-18","Chatham-8","Chatham",8,18,35.821235,-79.299888,""
"Chatham-8-19","Chatham-8","Chatham",8,19,35.823759,-79.310191,""
"Chatham-8-20","Chatham-8","Chatham",8,20,35.833841,-79.31898,""
"Chatham-9-1","Chatham-9","Chatham",9,1,35.78602,-79.09268,""
"Chatham-9-2","Chatham-9","Chatham",9,2,35.77783,-79.09412,""
"Chatham-9-3","Chatham-9","Chatham",9,3,35.77046,-79.0933,""
"Chatham-9-4","Chatham-9","Chatham",9,4,35.76417,-79.09083,""
"Chatham-9-5","Chatham-9","Chatham",9,5,35.75695,-79.08784,""
"Chatham-9-6","Chatham-9","Chatham",9,6,35.7495,-79.08702,""
"Chatham-9-7","Chatham-9","Chatham",9,7,35.7412,-79.08465,""
"Chatham-9-8","Chatham-9","Chatham",9,8,35.73337,-79.08245,""
"Chatham-9-9","Chatham-9","Chatham",9,9,35.73337,-79.08245,""
"Chatham-9-10","Chatham-9","Chatham",9,10,35.72046,-79.07359,""
"Chatham-9-11","Chatham-9","Chatham",9,11,35.71547,-79.06816,""
"Chatham-9-12","Chatham-9","Chatham",9,12,35.711,-79.0609,""
"Chatham-9-13","Chatham-9","Chatham",9,13,35.70982,-79.07409,""
"Chatham-9-14","Chatham-9","Chatham",9,14,35.70468,-79.07623,""
"Chatham-9-15","Chatham-9","Chatham",9,15,35.71899,-79.05994,""
"Chatham-9-16","Chatham-9","Chatham",9,16,35.72614,-79.05731,""
"Chatham-9-17","Chatham-9","Chatham",9,17,35.73419,-79.05825,""
"Chatham-9-18","Chatham-9","Chatham",9,18,35.72962,-79.00367,""
"Chatham-9-19","Chatham-9","Chatham",9,19,35.72154,-79.00648,""
"Chatham-9-20","Chatham-9","Chatham",9,20,35.71445,-79.00917,""
"Chatham-10-1","Chatham-10","Chatham",10,1,35.665815,-79.09656,"""Just be aware the mileage might be correct but some of the landmarks have changed."" Clark Poe Road - 0.0m"
"Chatham-10-2","Chatham-10","Chatham",10,2,35.660276,-79.102497,"Just past first house on left (Gum Springs Road) - 0.55m"
"Chatham-10-3","Chatham-10","Chatham",10,3,35.654274,-79.106031,"Just past house on left in valley - 1.0m"
"Chatham-10-4","Chatham-10","Chatham",10,4,35.649215,-79.113949,"Gum Springs Baptist Church - 1.55m"
"Chatham-10-5","Chatham-10","Chatham",10,5,35.650185,-79.120723,"Mt. View AME Zion Church - 2.1m"
"Chatham-10-6","Chatham-10","Chatham",10,6,35.655079,-79.126862,"4783 Moncure Pittsboro Road - 2.6m"
"Chatham-10-7","Chatham-10","Chatham",10,7,35.659943,-79.133407,"Across from Pond - 3.1m"
"Chatham-10-8","Chatham-10","Chatham",10,8,35.664852,-79.138095,"Ruby Red - 3.6m"
"Chatham-10-9","Chatham-10","Chatham",10,9,35.669197,-79.139533,"Abeyance - 3.9m"
"Chatham-10-10","Chatham-10","Chatham",10,10,35.676245,-79.142404,"Pullover on right - 4.55m"
"Chatham-10-11","Chatham-10","Chatham",10,11,35.685151,-79.150835,"Thrift Shepard Shop - 5.1m"
"Chatham-10-12","Chatham-10","Chatham",10,12,35.68882,-79.153637,"Bill Thomas Road - 5.6m"
"Chatham-10-13","Chatham-10","Chatham",10,13,35.695673,-79.158038,"Mt. Zion Road - 6.1m"
"Chatham-10-14","Chatham-10","Chatham",10,14,35.698913,-79.165924,"All Our Children - 6.6m"
"Chatham-10-15","Chatham-10","Chatham",10,15,35.701214,-79.170651,"Install Inc (496 Pittsboro Moncure Road) - 7.0m"
"Chatham-10-16","Chatham-10","Chatham",10,16,35.706328,-79.178572,"Sandford Road - 7.4m"
"Chatham-10-17","Chatham-10","Chatham",10,17,35.724089,-79.186482,"Chatham Office Building - 0.0m"
"Chatham-10-18","Chatham-10","Chatham",10,18,35.732249,-79.187493,"Oakview - 0.5m"
"Chatham-10-19","Chatham-10","Chatham",10,19,35.737101,-79.185359,"1289 - 1.0m"
"Chatham-10-20","Chatham-10","Chatham",10,20,35.745641,-79.185047,"1692 - 1.5m"
"Chatham-11-1","Chatham-11","Chatham",11,1,35.610067,-79.277234,""
"Chatham-11-2","Chatham-11","Chatham",11,2,35.617213,-79.280087,""
"Chatham-11-3","Chatham-11","Chatham",11,3,35.624326,-79.282354,""
"Chatham-11-4","Chatham-11","Chatham",11,4,35.630384,-79.278142,""
"Chatham-11-5","Chatham-11","Chatham",11,5,35.636241,-79.27303,""
"Chatham-11-6","Chatham-11","Chatham",11,6,35.640177,-79.265754,""
"Chatham-11-7","Chatham-11","Chatham",11,7,35.645549,-79.260014,""
"Chatham-11-8","Chatham-11","Chatham",11,8,35.647728,-79.251628,""
"Chatham-11-9","Chatham-11","Chatham",11,9,35.649957,-79.243551,""
"Chatham-11-10","Chatham-11","Chatham",11,10,35.655993,-79.238861,""
"Chatham-11-11","Chatham-11","Chatham",11,11,35.662042,-79.238741,""
"Chatham-11-12","Chatham-11","Chatham",11,12,35.660991,-79.22949,""
"Chatham-11-13","Chatham-11","Chatham",11,13,35.659237,-79.221114,""
"Chatham-11-14","Chatham-11","Chatham",11,14,35.653321,-79.217613,""
"Chatham-11-15","Chatham-11","Chatham",11,15,35.649422,-79.210774,""
"Chatham-11-16","Chatham-11","Chatham",11,16,35.649934,-79.201461,""
"Chatham-11-17","Chatham-11","Chatham",11,17,35.655131,-79.195402,""
"Chatham-11-18","Chatham-11","Chatham",11,18,35.660411,-79.189171,""
"Chatham-11-19","Chatham-11","Chatham",11,19,35.664052,-79.181776,""
"Chatham-11-20","Chatham-11","Chatham",11,20,35.670503,-79.179763,""
"Chatham-12-1","Chatham-12","Chatham",12,1,35.61934,-79.520667,""
"Chatham-12-2","Chatham-12","Chatham",12,2,35.6123,-79.519864,""
"Chatham-12-3","Chatham-12","Chatham",12,3,35.611316,-79.513973,""
"Chatham-12-4","Chatham-12","Chatham",12,4,35.61231,-79.506445,""
"Chatham-12-5","Chatham-12","Chatham",12,5,35.618754,-79.507419,""
"Chatham-12-6","Chatham-12","Chatham",12,6,35.625751,-79.507858,""
"Chatham-12-7","Chatham-12","Chatham",12,7,35.630478,-79.50084,""
"Chatham-12-8","Chatham-12","Chatham",12,8,35.634097,-79.492706,""
"Chatham-12-9","Chatham-12","Chatham",12,9,35.635362,-79.484652,""
"Chatham-12-10","Chatham-12","Chatham",12,10,35.637038,-79.477247,""
"Chatham-12-11","Chatham-12","Chatham",12,11,35.644083,-79.475305,""
"Chatham-12-12","Chatham-12","Chatham",12,12,35.653061,-79.472714,""
"Chatham-12-13","Chatham-12","Chatham",12,13,35.653875,-79.463584,""
"Chatham-12-14","Chatham-12","Chatham",12,14,35.654176,-79.455471,""
"Chatham-12-15","Chatham-12","Chatham",12,15,35.658828,-79.448449,""
"Chatham-12-16","Chatham-12","Chatham",12,16,35.66213,-79.440104,""
"Chatham-12-17","Chatham-12","Chatham",12,17,35.666845,-79.433407,""
"Chatham-12-18","Chatham-12","Chatham",12,18,35.668752,-79.4242,""
"Chatham-12-19","Chatham-12","Chatham",12,19,35.666441,-79.416244,""
"Chatham-12-20","Chatham-12","Chatham",12,20,35.666394,-79.409569,""
"Chatham-13-1","Chatham-13","Chatham",13,1,35.71054,-79.54496,""
"Chatham-13-2","Chatham-13","Chatham",13,2,35.708805,-79.536187,""
"Chatham-13-3","Chatham-13","Chatham",13,3,35.712742,-79.527683,""
"Chatham-13-4","Chatham-13","Chatham",13,4,35.716027,-79.518248,""
"Chatham-13-5","Chatham-13","Chatham",13,5,35.720391,-79.510899,""
"Chatham-13-6","Chatham-13","Chatham",13,6,35.72386,-79.501118,""
"Chatham-13-7","Chatham-13","Chatham",13,7,35.721897,-79.491209,""
"Chatham-13-8","Chatham-13","Chatham",13,8,35.720503,-79.481442,""
"Chatham-13-9","Chatham-13","Chatham",13,9,35.722715,-79.470945,""
"Chatham-13-10","Chatham-13","Chatham",13,10,35.725414,-79.46294,""
"Chatham-13-11","Chatham-13","Chatham",13,11,35.730273,-79.45828,""
"Chatham-13-12","Chatham-13","Chatham",13,12,35.737272,-79.455461,""
"Chatham-13-13","Chatham-13","Chatham",13,13,35.744238,-79.449902,""
"Chatham-13-14","Chatham-13","Chatham",13,14,35.751029,-79.444366,""
"Chatham-13-15","Chatham-13","Chatham",13,15,35.759489,-79.442942,""
"Chatham-13-16","Chatham-13","Chatham",13,16,35.766154,-79.440593,""
"Chatham-13-17","Chatham-13","Chatham",13,17,35.768435,-79.430661,""
"Chatham-13-18","Chatham-13","Chatham",13,18,35.771026,-79.423848,""
"Chatham-13-19","Chatham-13","Chatham",13,19,35.776769,-79.416071,""
"Chatham-13-20","Chatham-13","Chatham",13,20,35.783286,-79.411567,""
"Chatham-14-1","Chatham-14","Chatham",14,1,35.7437305,-79.0044304,""
"Chatham-14-2","Chatham-14","Chatham",14,2,35.7511476,-79.0078207,""
"Chatham-14-3","Chatham-14","Chatham",14,3,35.7582663,-79.0102389,""
"Chatham-14-4","Chatham-14","Chatham",14,4,35.7650553,-79.0066394,""
"Chatham-14-5","Chatham-14","Chatham",14,5,35.7711038,-79.0027502,""
"Chatham-14-6","Chatham-14","Chatham",14,6,35.7768952,-79.0064446,""
"Chatham-14-7","Chatham-14","Chatham",14,7,35.7849402,-79.0093468,""
"Chatham-14-8","Chatham-14","Chatham",14,8,35.7894141,-79.006155,""
"Chatham-14-9","Chatham-14","Chatham",14,9,35.7894464,-78.9990063,""
"Chatham-14-10","Chatham-14","Chatham",14,10,35.7919107,-78.9897438,""
"Chatham-14-11","Chatham-14","Chatham",14,11,35.7951207,-78.9822449,""
"Chatham-14-12","Chatham-14","Chatham",14,12,35.7946336,-78.9746531,""
"Chatham-14-13","Chatham-14","Chatham",14,13,35.7904302,-78.9668748,""
"Chatham-14-14","Chatham-14","Chatham",14,14,35.7940963,-78.9642201,""
"Chatham-14-15","Chatham-14","Chatham",14,15,35.8017524,-78.9639626,""
"Chatham-14-16","Chatham-14","Chatham",14,16,35.8069171,-78.9619799,""
"Chatham-14-17","Chatham-14","Chatham",14,17,35.8079852,-78.9537736,""
"Chatham-14-18","Chatham-14","Chatham",14,18,35.8121338,-78.9465209,""
"Chatham-14-19","Chatham-14","Chatham",14,19,35.817586,-78.9428178,""
"Chatham-14-20","Chatham-14","Chatham",14,20,35.8250782,-78.9421833,""
