"common_name_standard","habitat_ssi","z_tempwq","avonet_diet","diet_category_standard","Final_Fraction_Diet_Wt","usgs_2.5CI","usgs_trend_estimate","usgs_97.5CI","usgs_startyear","usgs_endyear","usgs_sd","scale_habitat_ssi","scale_ztempwq","scale_obs_quality","scale_insect_perc","scale_usgs_trend","scale_usgs_sd"
21,1.03605188053969,0.536221970084726,"Invertivore",2,0.9549,-3,-0.0235,-1.69,2000,2024,0.00398211724902209,-0.456638138132043,-0.248184408767474,-0.176209046356281,1.05098100809537,-1.02816755874506,0.21050302162281
22,1.21239612483299,1.22289328352619,"Invertivore",2,0.8054,0.45,0.0113,1.79,2000,2024,0.00407331077380886,0.330133646363974,0.933943724333106,-0.176209046356281,0.557096433915951,0.811433009086721,0.215323701507302
23,1.33038843976843,0.713906500772663,"Omnivore",4,0.4554,-1.7,-0.0122,-0.74,2000,2024,0.00291819279317649,0.856564347579094,0.0577055831855527,-0.176209046356281,-0.599155077540879,-0.430825995052559,0.154261756303738
24,1.26709431234523,0.750218189628016,"Invertivore",2,1,-0.63,-0.0014,0.38,2000,2024,0.00307018200115444,0.574173313040739,0.120217396503012,-0.176209046356281,1.19997227428595,0.140084525998685,0.162296222777892
25,1.38900199714504,1.18214544289769,"Omnivore",4,0.4911,-2.86,-0.0214,-1.45,2000,2024,0.00428609566497797,1.11807270197798,0.863794924132564,-0.176209046356281,-0.481217423372283,-0.917157179651766,0.226571954571116
26,1.41535545459735,0.623459565577498,"Granivore",1,0.3833,-3.56,-0.0289,-2.26,2000,2024,0.0039517194074265,1.2356504365419,-0.0980019067794318,-0.176209046356281,-0.837342888900987,-1.31362281927069,0.208896128327979
27,1.21509091551075,-0.480863436915049,"Omnivore",4,0.476538306306122,2.45,0.0388,5.36,2000,2024,0.00884577190431625,0.342156637411293,-1.99913169583946,-0.176209046356281,-0.529323081494905,2.26514035435609,0.467605948795707
28,1.79997126759702,0.791013565152479,"Invertivore",2,0.7463,-4.4,-0.0313,-1.9,2000,2024,0.00759946039889712,2.95163992489649,0.19044802965146,-0.176209046356281,0.361855107267097,-1.44049182394874,0.401723323707652
29,1.38076428096745,1.08266051295692,"Invertivore",2,0.3877,-0.37,0.0008,0.54,2000,2024,0.00276620358519855,1.08131957355472,0.6925282173393,-0.176209046356281,-0.822807155614101,0.256381113620234,0.146227289829585
30,1.13886673859277,0.728322298245022,"Invertivore",2,0.928,-0.38,0.002,0.81,2000,2024,0.00361734314987503,0.00207731168204416,0.0825228711944954,-0.176209046356281,0.962114820500543,0.319815615959261,0.191220302084842
31,1.40722575423049,0.201831881857987,"Invertivore",2,0.725843037691044,-0.2,0.0082,1.92,2000,2024,0.00644434241826476,1.19937922797093,-0.823848373440304,-0.176209046356281,0.294273982725538,0.647560544710901,0.340661378504089
32,1.34816450204093,0.579092854021211,"Granivore",1,0.04,-1.04,-0.0009,0.87,2000,2024,0.0058059877447574,0.935873452854942,-0.174380716957173,-0.176209046356281,-1.97146044285279,0.166515568639946,0.306916619312646
33,1.45735297667617,0.947275153765366,"Granivore",1,0.0991,-2.62,-0.0181,-0.95,2000,2024,0.00507643954646328,1.42302522454693,0.459457694692651,-0.176209046356281,-1.77621911620393,-0.742712298219442,0.268351180236712
34,1.24928365077096,0.551487401307126,"Granivore",1,0.309616406125,-2.14,-0.018,-1.47,2000,2024,0.00203665538690443,0.494709840637656,-0.221904447221579,-0.176209046356281,-1.08076222257967,-0.73742608969119,0.107661850753651
35,0.900070334720055,0.783529185176046,"Granivore",1,0,-0.64,-0.0028,0.08,2000,2024,0.00218864459488237,-1.0633290108157,0.177563413743138,-0.176209046356281,-2.10360347273357,0.0660776066031531,0.115696317227804
36,0.975078801552434,-0.00685356286686836,"Omnivore",4,0.1756,-7.45,-0.0645,-5.47,2000,2024,0.00601877263592652,-0.728673657937454,-1.18310749836498,-0.176209046356281,-1.52349557155694,-3.19551305532849,0.318164872376461
37,0.945795585528322,0.169421480927829,"Omnivore",4,0.4233,0.03,0.003,0.58,2000,2024,0.00167188128775737,-0.859322708715395,-0.879643986267918,-0.176209046356281,-0.705199859020206,0.372677701241784,0.0883791312156835
38,1.07665048958794,0.644797868693798,"Omnivore",4,0.525,-0.81,-0.0044,-0.07,2000,2024,0.00224944027807355,-0.275504695319919,-0.0612672887276233,-0.176209046356281,-0.369226205548321,-0.0185017298488829,0.118910103817465
39,1.13130781009142,0.701816399288799,"Invertivore",2,1,0.61,0.0151,2.49,2000,2024,0.00571479421997063,-0.0316473595694512,0.0368920603015287,-0.176209046356281,1.19997227428595,1.01230893316031,0.302095939428155
40,1.15426352540995,0.39093953163551,"Invertivore",2,0.9533,-0.77,0.0005,0.86,2000,2024,0.00495484818008092,0.0707711184360067,-0.498293091589145,-0.176209046356281,1.04569528690014,0.240522488035478,0.261923607057389
41,1.19710482131401,1.85595565700869,"Invertivore",2,0.9538,-1.01,-0.0023,0.54,2000,2024,0.00471166544731621,0.261910460486196,2.02378223520732,-0.176209046356281,1.04734707477365,0.0925086492444144,0.249068460698744
42,1.09963696076983,1.29048891428588,"Invertivore",2,0.7567,1.23,0.0216,3.13,2000,2024,0.00577558990316181,-0.172948997947895,1.05031191276846,-0.176209046356281,0.3962122950361,1.3559124874967,0.305309726017816
43,1.17778864330485,0.638793073271427,"Invertivore",2,1,-1.38,-0.0066,0.1,2000,2024,0.00449888055614709,0.175730024584739,-0.0716047492612843,-0.176209046356281,1.19997227428595,-0.134798317470432,0.23782020763493
44,1.20124674744256,0.149464048654638,"Invertivore",2,1,-4.39,-0.0352,-2.63,2000,2024,0.00535002012082357,0.280389944318909,-0.914001387972015,-0.176209046356281,1.19997227428595,-1.64665395655058,0.282813219890187
45,1.15483960825006,0.587671717479333,"Invertivore",2,1,-2.47,-0.0101,0.65,2000,2024,0.0094841265778236,0.0733413510282144,-0.15961191033112,-0.176209046356281,1.19997227428595,-0.319815615959261,0.50135070798715
46,1.22891240021225,0.235725583238354,"Omnivore",4,0.3767,-0.22,0.0025,0.72,2000,2024,0.00285739710998532,0.403822127127515,-0.765499208195822,-0.176209046356281,-0.859146488831315,0.346246658600523,0.151047969714077
47,0.955392561751542,1.21043098516754,"Invertivore",2,0.7781,-1.01,-0.006,-0.19,2000,2024,0.00249262301083825,-0.816505149576066,0.912489451809299,-0.176209046356281,0.466908816022318,-0.103081066300919,0.13176525017611
48,0.914271426498568,1.0438858974451,"Granivore",1,0.3442,-1.7,-0.0108,-0.47,2000,2024,0.00373893451625738,-0.999969878425817,0.625776391612146,-0.176209046356281,-0.966512700609449,-0.356819075657027,0.197647875264165
49,1.30713545132624,0.896428842057671,"Nectarivore",3,0.9015,-1.62,-0.0053,0.49,2000,2024,0.00641394457666917,0.752819565406909,0.371924031413748,-0.176209046356281,0.874570063204526,-0.0660776066031532,0.339054485209259
50,1.25390919830186,1.31699655923608,"Invertivore",2,0.9335,-0.75,0.001,1.06,2000,2024,0.00550200932880151,0.515347034098331,1.09594572944973,-0.176209046356281,0.98028448710915,0.266953530676739,0.29084768636434
51,0.924297932025829,1.73492041415983,"Omnivore",4,0.4429,-0.49,-0.0001,0.45,2000,2024,0.00285739710998532,-0.955235945217189,1.81541592826025,-0.176209046356281,-0.640449774378623,0.208805236865964,0.151047969714077
52,0.714954032294691,-0.279264019078903,"Invertivore",2,1,0.13,0.0085,1.59,2000,2024,0.00443808487295592,-1.88923792654004,-1.65207140836886,-0.176209046356281,1.19997227428595,0.663419170295658,0.234606421045269
53,1.27355284552284,0.279741609423659,"Invertivore",2,0.8296,-0.34,0.0016,0.65,2000,2024,0.00300938631796326,0.60298849605813,-0.689724114868909,-0.176209046356281,0.637042966993823,0.298670781846252,0.15908243618823
54,1.24366831385433,0.953570969864269,"Omnivore",4,0.7433,1.9,0.0292,3.97,2000,2024,0.00629235321028681,0.469656634823379,0.470296157266602,-0.176209046356281,0.351944380026039,1.75766433564387,0.332626912029936
55,1.12556820485875,-0.133133929575738,"Invertivore",2,0.82,3.02,0.037,4.41,2000,2024,0.0042252999817868,-0.0572549968887599,-1.40050346528932,-0.176209046356281,0.605328639822435,2.16998860084755,0.223358167981455
56,1.43103235611732,0.837371656976726,"Invertivore",2,0.199196665834166,-1.38,-0.0084,-0.29,2000,2024,0.00331336473391914,1.30559399400625,0.27025506901597,-0.176209046356281,-1.44554219859666,-0.229950070978973,0.175151369136536
57,0.921346273098217,0.255303223210735,"Invertivore",2,0.9925,-1.18,-0.0016,0.87,2000,2024,0.00623155752709564,-0.968404971351314,-0.731795631916981,-0.176209046356281,1.1751954561833,0.12951210894218,0.329413125440275
58,0.894748928035822,0.679059948342185,"Invertivore",2,0.08,-2.75,-0.0215,-1.58,2000,2024,0.00355654746668385,-1.08707082699893,-0.0022839477054069,-0.176209046356281,-1.83931741297201,-0.922443388180018,0.188006515495181
59,1.27762789236171,0.646454760889004,"Invertivore",2,0.9826,0.8,0.0168,2.61,2000,2024,0.00550200932880151,0.621169593412178,-0.0584148921892395,-0.176209046356281,1.14249005628781,1.1021744781406,0.29084768636434
60,1.13657462780458,-0.137420521131125,"Invertivore",2,0.725843037691044,1.59,0.0328,5.1,2000,2024,0.0106696424000516,-0.00814909577635494,-1.4078829791463,-0.176209046356281,0.294273982725538,1.94796784266096,0.564019546485544
