predictor,dataset,class,label
road_density_c4,road_density,4,Tertiary roads
road_density_c5,road_density,5,Local roads
mcd12q1_lccs1_c1_pland,mcd12q1_lccs1,1,Barren (% cover)
mcd12q1_lccs1_c1_ed,mcd12q1_lccs1,1,Barren (edge density)
mcd12q1_lccs1_c2_pland,mcd12q1_lccs1,2,Permanent Snow and Ice (% cover)
mcd12q1_lccs1_c2_ed,mcd12q1_lccs1,2,Permanent Snow and Ice (edge density)
mcd12q1_lccs1_c11_pland,mcd12q1_lccs1,11,Evergreen Needleleaf Forests (% cover)
mcd12q1_lccs1_c11_ed,mcd12q1_lccs1,11,Evergreen Needleleaf Forests (edge density)
mcd12q1_lccs1_c12_pland,mcd12q1_lccs1,12,Evergreen Broadleaf Forests (% cover)
mcd12q1_lccs1_c12_ed,mcd12q1_lccs1,12,Evergreen Broadleaf Forests (edge density)
mcd12q1_lccs1_c13_pland,mcd12q1_lccs1,13,Deciduous Needleleaf Forests (% cover)
mcd12q1_lccs1_c13_ed,mcd12q1_lccs1,13,Deciduous Needleleaf Forests (edge density)
mcd12q1_lccs1_c14_pland,mcd12q1_lccs1,14,Deciduous Broadleaf Forests (% cover)
mcd12q1_lccs1_c14_ed,mcd12q1_lccs1,14,Deciduous Broadleaf Forests (edge density)
mcd12q1_lccs1_c15_pland,mcd12q1_lccs1,15,Mixed Broadleaf/Needleleaf Forests (% cover)
mcd12q1_lccs1_c15_ed,mcd12q1_lccs1,15,Mixed Broadleaf/Needleleaf Forests (edge density)
mcd12q1_lccs1_c16_pland,mcd12q1_lccs1,16,Mixed Broadleaf Evergreen/Deciduous Forests (% cover)
mcd12q1_lccs1_c16_ed,mcd12q1_lccs1,16,Mixed Broadleaf Evergreen/Deciduous Forests (edge density)
mcd12q1_lccs1_c21_pland,mcd12q1_lccs1,21,Open Forests (% cover)
mcd12q1_lccs1_c21_ed,mcd12q1_lccs1,21,Open Forests (edge density)
mcd12q1_lccs1_c22_pland,mcd12q1_lccs1,22,Sparse Forests (% cover)
mcd12q1_lccs1_c22_ed,mcd12q1_lccs1,22,Sparse Forests (edge density)
mcd12q1_lccs1_c31_pland,mcd12q1_lccs1,31,Dense Herbaceous (% cover)
mcd12q1_lccs1_c31_ed,mcd12q1_lccs1,31,Dense Herbaceous (edge density)
mcd12q1_lccs1_c32_pland,mcd12q1_lccs1,32,Sparse Herbaceous (% cover)
mcd12q1_lccs1_c32_ed,mcd12q1_lccs1,32,Sparse Herbaceous (edge density)
mcd12q1_lccs1_c41_pland,mcd12q1_lccs1,41,Dense Shrublands (% cover)
mcd12q1_lccs1_c41_ed,mcd12q1_lccs1,41,Dense Shrublands (edge density)
mcd12q1_lccs1_c42_pland,mcd12q1_lccs1,42,Shrubland/Grassland Mosaics (% cover)
mcd12q1_lccs1_c42_ed,mcd12q1_lccs1,42,Shrubland/Grassland Mosaics (edge density)
mcd12q1_lccs1_c43_pland,mcd12q1_lccs1,43,Sparse Shrublands (% cover)
mcd12q1_lccs1_c43_ed,mcd12q1_lccs1,43,Sparse Shrublands (edge density)
mcd12q1_lccs1_c255_pland,mcd12q1_lccs1,255,Unclassified (% cover)
mcd12q1_lccs1_c255_ed,mcd12q1_lccs1,255,Unclassified (edge density)
mcd12q1_lccs2_c9_pland,mcd12q1_lccs2,9,Urban and Built-up Lands (% cover)
mcd12q1_lccs2_c9_ed,mcd12q1_lccs2,9,Urban and Built-up Lands (edge density)
mcd12q1_lccs2_c25_pland,mcd12q1_lccs2,25,Forest/Cropland Mosaics (% cover)
mcd12q1_lccs2_c25_ed,mcd12q1_lccs2,25,Forest/Cropland Mosaics (edge density)
mcd12q1_lccs2_c35_pland,mcd12q1_lccs2,35,Natural Herbaceous/Croplands Mosaics (% cover)
mcd12q1_lccs2_c35_ed,mcd12q1_lccs2,35,Natural Herbaceous/Croplands Mosaics (edge density)
mcd12q1_lccs2_c36_pland,mcd12q1_lccs2,36,Herbaceous Croplands (% cover)
mcd12q1_lccs2_c36_ed,mcd12q1_lccs2,36,Herbaceous Croplands (edge density)
mcd12q1_lccs3_c27_pland,mcd12q1_lccs3,27,Woody Wetlands (% cover)
mcd12q1_lccs3_c27_ed,mcd12q1_lccs3,27,Woody Wetlands (edge density)
mcd12q1_lccs3_c50_pland,mcd12q1_lccs3,50,Herbaceous Wetlands (% cover)
mcd12q1_lccs3_c50_ed,mcd12q1_lccs3,50,Herbaceous Wetlands (edge density)
mcd12q1_lccs3_c51_pland,mcd12q1_lccs3,51,Tundra (% cover)
mcd12q1_lccs3_c51_ed,mcd12q1_lccs3,51,Tundra (edge density)
has_shoreline,shoreline,,Has Shoreline
shoreline_waveheight_mean,shoreline,waveheight,Wave Height [m] (mean)
shoreline_waveheight_sd,shoreline,waveheight,Wave Height [m] (SD)
shoreline_tidal_range_mean,shoreline,tidal_range,Tidal Range [m] (mean)
shoreline_tidal_range_sd,shoreline,tidal_range,Tidal Range [m] (SD)
shoreline_chlorophyll_mean,shoreline,chlorophyll,Chlorophyll Concentration [g/1000L] (mean)
shoreline_chlorophyll_sd,shoreline,chlorophyll,Chlorophyll Concentration [g/1000L] (SD)
shoreline_turbidity_mean,shoreline,turbidity,Turbidity [1/m] (mean)
shoreline_turbidity_sd,shoreline,turbidity,Turbidity [1/m] (SD)
shoreline_sinuosity_mean,shoreline,sinuosity,Sinuosity (mean)
shoreline_sinuosity_sd,shoreline,sinuosity,Sinuosity (SD)
shoreline_slope_mean,shoreline,slope,Slope [%] (mean)
shoreline_slope_sd,shoreline,slope,Slope [%] (SD)
shoreline_outflow_density_mean,shoreline,outflow_density,Outflow Density (mean)
shoreline_outflow_density_sd,shoreline,outflow_density,Outflow Density (SD)
shoreline_erodibility_c1_density,shoreline_erodibility,1,Non
shoreline_erodibility_c2_density,shoreline_erodibility,2,Low
shoreline_erodibility_c3_density,shoreline_erodibility,3,Medium
shoreline_erodibility_c4_density,shoreline_erodibility,4,High
shoreline_erodibility_n,shoreline,,Number of Shoreline Erodibility Classes
shoreline_emu_physical_c1_density,shoreline_emu_physical,1,Euhaline-Highly Oxic-Superchilled
shoreline_emu_physical_c2_density,shoreline_emu_physical,2,Euhaline-Hypoxic-Moderate to Cool
shoreline_emu_physical_c3_density,shoreline_emu_physical,3,Euhaline-Oxic-Cold
shoreline_emu_physical_c4_density,shoreline_emu_physical,4,Euhaline-Oxic-Moderate
shoreline_emu_physical_c5_density,shoreline_emu_physical,5,Euhaline-Oxic-Moderate to Cool
shoreline_emu_physical_c6_density,shoreline_emu_physical,6,Euhaline-Oxic-Superchilled
shoreline_emu_physical_c7_density,shoreline_emu_physical,7,Euhaline-Oxic-Very Cold
shoreline_emu_physical_c8_density,shoreline_emu_physical,8,Euhaline-Oxic-Warm to Very Warm
shoreline_emu_physical_c9_density,shoreline_emu_physical,9,Euhaline-Severely Hypoxic-Cold
shoreline_emu_physical_c10_density,shoreline_emu_physical,10,Euhaline-Severely Hypoxic-Very Cold
shoreline_emu_physical_c11_density,shoreline_emu_physical,11,Mesohaline-Highly Oxic-Very Cold
shoreline_emu_physical_c12_density,shoreline_emu_physical,12,Mesohaline-Hypoxic-Cold
shoreline_emu_physical_c13_density,shoreline_emu_physical,13,Mesohaline-Oxic-Cold
shoreline_emu_physical_c14_density,shoreline_emu_physical,14,Mesohaline-Oxic-Moderate to Cool
shoreline_emu_physical_c15_density,shoreline_emu_physical,15,Mesohaline-Oxic-Very Cold
shoreline_emu_physical_c16_density,shoreline_emu_physical,16,Mesohaline-Severely Hypoxic-Very Cold
shoreline_emu_physical_c17_density,shoreline_emu_physical,17,Polyhaline-Anoxic-Cold
shoreline_emu_physical_c18_density,shoreline_emu_physical,18,Polyhaline-Anoxic-Very Cold
shoreline_emu_physical_c19_density,shoreline_emu_physical,19,Polyhaline-Highly Oxic-Superchilled
shoreline_emu_physical_c20_density,shoreline_emu_physical,20,Polyhaline-Hypoxic-Cold
shoreline_emu_physical_c21_density,shoreline_emu_physical,21,Polyhaline-Oxic-Cold
shoreline_emu_physical_c22_density,shoreline_emu_physical,22,Polyhaline-Oxic-Very Cold
shoreline_emu_physical_c23_density,shoreline_emu_physical,23,Polyhaline-Severely Hypoxic-Cold
shoreline_emu_physical_n,shoreline,,Number of EMU Classes
has_evi,evi,,Has EVI
evi_median,evi,,Enhanced Vegetation Index (EVI) (median)
evi_sd,evi,,Enhanced Vegetation Index (EVI) (SD)
has_ocean_chlorophyll,ocean_chlorophyll,,Has Chlorophyll Concentration
ocean_chlorophyll,ocean_chlorophyll,,Chlorophyll Concentration [mg/m3]
has_ocean_sst,ocean_sst,,Has Sea Surface Temperature
ocean_sst,ocean_sst,,Sea Surface Temperature [celcius]
has_ocean_ssta,ocean_ssta,,Has Sea Surface Temperature Anomaly
ocean_ssta,ocean_ssta,,Sea Surface Temperature Anomaly [celcius]
