"species","trend","pvalue","R2","significant"
"Eastern Wood-Pewee",-0.0212513424838872,0.164413923322171,0.0859538132253998,0
"Acadian Flycatcher",0.0480442820239813,0.00000133557424606425,0.66192744075666,1
"Eastern Phoebe",0.00211913785158621,0.914730121442484,0.000532963738743847,0
"Great Crested Flycatcher",0.0803184112219593,0.0000000757296027483498,0.738410285362457,1
"Eastern Kingbird",-0.018632235192817,0.00135411286794822,0.379344652606439,1
"White-eyed Vireo",0.0514869821757288,0.00000328738076696491,0.633720290973985,1
"Yellow-throated Vireo",-0.00328024189862412,0.553037806898478,0.0162295070712164,0
"Blue-headed Vireo",-0.000227857737416223,0.962526777424835,0.000191749001987098,0
"Warbling Vireo",-0.00197304507014596,0.120072287390844,0.30913155692997,0
"Red-eyed Vireo",-0.103053127661152,0.0148799071366294,0.240900189602287,1
"Loggerhead Shrike",-0.00352911149364887,0.0272841305476075,0.524792230060165,1
"Blue Jay",-0.0552167049773183,0.0067063369996522,0.289326398320226,1
"American Crow",-0.147447936450684,0.0490254542079979,0.16481084103384,1
"Fish Crow",0.0894508327799883,0.00642021153766227,0.291909850973093,1
"crow sp.",0.0801542207792318,0.0139554577482985,0.999519538757209,1
"Carolina Chickadee",-0.0159502812901801,0.675897387091042,0.00809408485991138,0
"Tufted Titmouse",0.0461654583883472,0.447220973996258,0.0265029069943635,0
"Northern Rough-winged Swallow",0.00647816136335961,0.313875260666682,0.0460648906896857,0
"Purple Martin",0.0348224151163143,0.196443501594882,0.0781368420636856,0
"Tree Swallow",0.00812391452572551,0.113458094118713,0.195459433021478,0
"Barn Swallow",-0.0652860819759476,0.00652537712076329,0.29094798663217,1
"Cliff Swallow",0.00733206690709986,0.584607814202941,0.0280258854004537,0
"White-breasted Nuthatch",0.00671908393538812,0.424599062688741,0.029208751904904,0
"Brown-headed Nuthatch",0.0148866962392539,0.181584083516698,0.0796207360982094,0
"Blue-gray Gnatcatcher",0.0451228377204399,0.201200652921872,0.0731388093186838,0
"House Wren",-0.00936409290482169,0.0205704366853215,0.220611950574079,1
"Carolina Wren",0.122628300185652,0.0920251059289116,0.123622166392004,0
"European Starling",-0.180838067916266,0.0118040701108869,0.255199763657168,1
"Gray Catbird",-0.00719857668853852,0.39998073927021,0.0324005864575682,0
"Brown Thrasher",0.012117578019688,0.287794274615814,0.051178393944137,0
"Northern Mockingbird",-0.0344193589871337,0.422237290597175,0.0295033958727755,0
"Eastern Bluebird",-0.012913856826133,0.718330538696799,0.00603110056092204,0
"Wood Thrush",-0.247400753969199,0.00000000643078989393522,0.790366489724285,1
"American Robin",-0.0840650532142854,0.0152770442775692,0.239262431966806,1
"Cedar Waxwing",-0.00379997801005284,0.833116727512972,0.00305534363337881,0
"House Sparrow",-0.0589808554155422,0.000000220736191762386,0.712115136385727,1
"House Finch",-0.0218701232448997,0.365437534906239,0.0373693845853255,0
"American Goldfinch",-0.141523608759573,0.0000670725849744245,0.521883864245676,1
"Grasshopper Sparrow",-0.00615327726171726,0.0950331276942605,0.121517713950741,0
"Chipping Sparrow",0.136726308719741,0.00000826579066075619,0.619916024699554,1
"Field Sparrow",-0.0470433753917774,0.00136242646795156,0.379019279804978,1
"Song Sparrow",0.0228573423758206,0.00124316067211902,0.383873864397839,1
"Eastern Towhee",-0.117892418250025,0.0141498484794825,0.244021966121046,1
"Yellow-breasted Chat",-0.0629542068982915,0.00505090080107993,0.305995739428356,1
"Eastern Meadowlark",-0.0853742015195666,0.00163298170387356,0.369323625492244,1
"Orchard Oriole",-0.00946517893752532,0.118853930750995,0.106918718244857,0
"Red-winged Blackbird",-0.0590987415102188,0.000615804117883353,0.420013054250865,1
"Brown-headed Cowbird",0.0362464976484159,0.0762484316702506,0.135937563614787,0
"Common Grackle",-0.413023283083546,0.0000123192356216642,0.588206786780126,1
"Ovenbird",-0.00592079807329173,0.628600244332696,0.0108199048726577,0
"Louisiana Waterthrush",0.000765139913391439,0.599788267820017,0.0140145472987207,0
"Black-and-white Warbler",0.00295819018347211,0.159061574341528,0.0921627087008254,0
"Prothonotary Warbler",0.00141853877815919,0.363277891055792,0.0593377074439978,0
"Kentucky Warbler",0.00226555015506955,0.0961543026443474,0.163405273947183,0
"Common Yellowthroat",-0.043622513996139,0.000203182668058355,0.473214581326713,1
"Hooded Warbler",0.0166845633591741,0.010227068227949,0.274865502977222,1
"American Redstart",-0.00303751040041626,0.258954834666505,0.0840660887123398,0
"Northern Parula",0.0335818078554012,0.00135684463940993,0.379237534491767,1
"Yellow Warbler",0.000432653948207388,0.749472592893672,0.0119043450651999,0
"Pine Warbler",-0.0286938161540719,0.325087525349335,0.0461214409647156,0
"Yellow-throated Warbler",0.0452294378965732,0.0000000411646577048812,0.752324498298129,1
"Prairie Warbler",-0.0252488668371977,0.00549914967335933,0.301027829567119,1
"Summer Tanager",0.0836965050768118,0.0000148823279654596,0.581267227859605,1
"Scarlet Tanager",-0.0193494296068142,0.0196006791296631,0.223657763665665,1
"Northern Cardinal",-0.027025820938321,0.55382646549162,0.0161656297296592,0
"Blue Grosbeak",0.0192333817066233,0.154855780982538,0.0897951532918782,0
"Indigo Bunting",-0.229152511897971,0.0000000184453327516433,0.769543387196681,1
"Dickcissel",0.000456837714455437,0.811282532678666,0.0221322012764927,0
