"species","trend","pvalue","R2","significant"
"Eastern Phoebe",0.00403995692354836,0.822562767675545,0.00223197040031565,0
"Great Crested Flycatcher",0.079373398701297,0.0000000199380529209925,0.752450319232038,1
"Eastern Kingbird",-0.0178659493938301,0.000935383123536878,0.385021705003337,1
"White-eyed Vireo",0.0541689517970919,0.000000934802371166311,0.655925653377029,1
"Yellow-throated Vireo",-0.00364718078899308,0.472840144430624,0.0226368385605748,0
"Blue-headed Vireo",-0.000385765883470081,0.934012152671254,0.000595392162502496,0
"Warbling Vireo",-0.00201289352855591,0.110544542728989,0.322712356606674,0
"Red-eyed Vireo",-0.0952605517734146,0.0144278499987869,0.233411348239603,1
"Loggerhead Shrike",-0.00354555620096104,0.0268181388410192,0.52693538966146,1
"Blue Jay",-0.0600101587930715,0.00165949085878781,0.355451171924728,1
"American Crow",-0.154199520560936,0.0262786009305569,0.196923742394607,1
"Fish Crow",0.0779352896944858,0.00761193693064072,0.271156322442497,1
"crow sp.",0.0804924242424353,0.0129706495512553,0.999584947426676,1
"Carolina Chickadee",-0.0193243469064093,0.580139502395648,0.0135046945036702,0
"Tufted Titmouse",0.0315506372239579,0.573540055799804,0.0139773419286948,0
"Northern Rough-winged Swallow",0.00405828961307585,0.493868195752798,0.0205831853405359,0
"Purple Martin",0.0233839324818189,0.33696730582234,0.0419598414375938,0
"Tree Swallow",0.00831251815103512,0.0713640964739998,0.228700296878981,0
"Barn Swallow",-0.0755405096393843,0.000863307150273632,0.389062820332781,1
"Cliff Swallow",0.00721272863836269,0.526247379688927,0.0342857845764381,0
"White-breasted Nuthatch",0.00809174834739469,0.29588243924302,0.0473868281326678,0
"Brown-headed Nuthatch",0.0166637422388612,0.10722435664921,0.108870286325668,0
"Blue-gray Gnatcatcher",0.038173630846581,0.236220387457062,0.0604304191064493,0
"House Wren",-0.00997528055361766,0.0108497767119125,0.25039518062557,1
"Carolina Wren",0.10595852662663,0.117248691067408,0.10327333303431,0
"European Starling",-0.190285252983899,0.00420818130267449,0.304930052572918,1
"Gray Catbird",-0.00886839596895769,0.247445128328754,0.0576993065124499,0
"Brown Thrasher",0.00478581152374838,0.661766181168789,0.00846772491742469,0
"Northern Mockingbird",-0.0597124696018342,0.138347493486788,0.0929603946953235,0
"Eastern Bluebird",-0.00524615630219086,0.878319858731332,0.00104095175401304,0
"Wood Thrush",-0.241264075563645,0.00000000181912319449712,0.798509330684528,1
"American Robin",-0.102211931444407,0.00171789235320958,0.353629134141786,1
"Cedar Waxwing",0.0029903281684756,0.848525979735718,0.00234960017806345,0
"House Sparrow",-0.0567580629713958,0.000000117643312454009,0.711760300894128,1
"House Finch",-0.00937994520446933,0.695082739574523,0.00680333643281295,0
"American Goldfinch",-0.146499742831269,0.0000121760859851956,0.57212888987592,1
"Grasshopper Sparrow",-0.00555608002884295,0.099878078952045,0.113324703714537,0
"Chipping Sparrow",0.138700630913486,0.00000718420505850144,0.607406504228036,1
"Field Sparrow",-0.0477087661634783,0.000496424283460266,0.416319615317599,1
"Song Sparrow",0.0209402573297584,0.000805639794998111,0.39252834473257,1
"Eastern Towhee",-0.136709411868319,0.00283442152653739,0.326766066041492,1
"Yellow-breasted Chat",-0.0668229457226863,0.00151145219803219,0.360351862046729,1
"Eastern Meadowlark",-0.0861611617543705,0.0005480767344298,0.411524244808311,1
"Orchard Oriole",-0.00891326500499149,0.102769549463176,0.111532648998553,0
"Red-winged Blackbird",-0.0468052620420385,0.00641796961604939,0.281002227458151,1
"Brown-headed Cowbird",0.0335067285615831,0.0785827553795252,0.128414270882735,0
"Common Grackle",-0.419712093077819,0.00000193988877550337,0.633858162930635,1
"Ovenbird",-0.00761756738483803,0.498687748224343,0.0201322663226134,0
"Louisiana Waterthrush",0.00169358384695128,0.242425831726334,0.0644553687963254,0
"Black-and-white Warbler",0.00426755230675883,0.0451769405609063,0.170131499047592,1
"Prothonotary Warbler",0.0013183965027046,0.378907401622362,0.0556912501574585,0
"Kentucky Warbler",0.00216917143410876,0.0712581190988111,0.178819149015361,0
"Common Yellowthroat",-0.0428429631046069,0.000119700342068856,0.481443627629217,1
"Hooded Warbler",0.014255742364179,0.0156530017115513,0.237748788141555,1
"American Redstart",-0.00311788254690869,0.189049030990161,0.105240470854139,0
"Northern Parula",0.0307861561086031,0.00123055411762373,0.371024026309231,1
"Yellow Warbler",0.000335535834731235,0.799411759399126,0.00755462025302208,0
"Pine Warbler",-0.032693281001057,0.227805792888623,0.0653886202719553,0
"Yellow-throated Warbler",0.0466498908533547,0.00000000976418458696808,0.767174132194401,1
"Prairie Warbler",-0.0249431225479068,0.00288333916097577,0.325832146669202,1
"Summer Tanager",0.0742642832724651,0.0000332178286247433,0.534320655092614,1
"Scarlet Tanager",-0.0227424981627568,0.00390539765546199,0.309098441833514,1
"Northern Cardinal",-0.0708048895855594,0.117106046426242,0.103349459793599,0
"Blue Grosbeak",0.0133363989179541,0.258028500916247,0.0552528532346924,0
"Indigo Bunting",-0.229860954065539,0.0000000033891031028362,0.787424095685693,1
"Dickcissel",0.000418570078012796,0.823026977445795,0.0194456206167505,0
